commodity_group,year,fob_value,exporters
Sea cucumbers, prepared or preserved,2018,244647000,World
Sea cucumbers, prepared or preserved,2019,229808000,World
Sea cucumbers, prepared or preserved,2020,204820000,World
Sea cucumbers, prepared or preserved,2021,193836000,World
Sea cucumbers, prepared or preserved,2022,223515000,World
Sea cucumbers, prepared or preserved,2018,190867000,Japan
Sea cucumbers, prepared or preserved,2019,190617000,Japan
Sea cucumbers, prepared or preserved,2020,170428000,Japan
Sea cucumbers, prepared or preserved,2021,141436000,Japan
Sea cucumbers, prepared or preserved,2022,140975000,Japan
Sea cucumbers, prepared or preserved,2018,4200000,Republic of Korea
Sea cucumbers, prepared or preserved,2019,3461000,Republic of Korea
Sea cucumbers, prepared or preserved,2020,8286000,Republic of Korea
Sea cucumbers, prepared or preserved,2021,20342000,Republic of Korea
Sea cucumbers, prepared or preserved,2022,30921000,Republic of Korea
Sea cucumbers, prepared or preserved,2018,25000,Malaysia
Sea cucumbers, prepared or preserved,2019,199000,Malaysia
Sea cucumbers, prepared or preserved,2020,345000,Malaysia
Sea cucumbers, prepared or preserved,2021,451000,Malaysia
Sea cucumbers, prepared or preserved,2022,11672000,Malaysia
Sea cucumbers, prepared or preserved,2018,5467000,Indonesia
Sea cucumbers, prepared or preserved,2019,1895000,Indonesia
Sea cucumbers, prepared or preserved,2020,1885000,Indonesia
Sea cucumbers, prepared or preserved,2021,5207000,Indonesia
Sea cucumbers, prepared or preserved,2022,10640000,Indonesia
Sea cucumbers, prepared or preserved,2018,2479000,Russia
Sea cucumbers, prepared or preserved,2019,2211000,Russia
Sea cucumbers, prepared or preserved,2020,3124000,Russia
Sea cucumbers, prepared or preserved,2021,4359000,Russia
Sea cucumbers, prepared or preserved,2022,7385000,Russia
Sea cucumbers, prepared or preserved,2018,2082000,Canada
Sea cucumbers, prepared or preserved,2019,952000,Canada
Sea cucumbers, prepared or preserved,2020,2237000,Canada
Sea cucumbers, prepared or preserved,2021,1366000,Canada
Sea cucumbers, prepared or preserved,2022,6565000,Canada
Sea cucumbers, prepared or preserved,2018,277000,Fiji
Sea cucumbers, prepared or preserved,2019,0,Fiji
Sea cucumbers, prepared or preserved,2020,0,Fiji
Sea cucumbers, prepared or preserved,2021,0,Fiji
Sea cucumbers, prepared or preserved,2022,3780000,Fiji
Sea cucumbers, prepared or preserved,2018,2319000,Vietnam
Sea cucumbers, prepared or preserved,2019,1208000,Vietnam
Sea cucumbers, prepared or preserved,2020,2106000,Vietnam
Sea cucumbers, prepared or preserved,2021,2525000,Vietnam
Sea cucumbers, prepared or preserved,2022,3775000,Vietnam
Sea cucumbers, prepared or preserved,2018,0,Ecuador
Sea cucumbers, prepared or preserved,2019,0,Ecuador
Sea cucumbers, prepared or preserved,2020,0,Ecuador
Sea cucumbers, prepared or preserved,2021,619000,Ecuador
Sea cucumbers, prepared or preserved,2022,2201000,Ecuador
Sea cucumbers, prepared or preserved,2018,467000,United States of America
Sea cucumbers, prepared or preserved,2019,42000,United States of America
Sea cucumbers, prepared or preserved,2020,31000,United States of America
Sea cucumbers, prepared or preserved,2021,620000,United States of America
Sea cucumbers, prepared or preserved,2022,1084000,United States of America
Sea cucumbers, prepared or preserved,2018,11590000,China
Sea cucumbers, prepared or preserved,2019,14752000,China
Sea cucumbers, prepared or preserved,2020,11966000,China
Sea cucumbers, prepared or preserved,2021,13074000,China
Sea cucumbers, prepared or preserved,2022,825000,China
Sea cucumbers, prepared or preserved,2018,710000,Philippines
Sea cucumbers, prepared or preserved,2019,743000,Philippines
Sea cucumbers, prepared or preserved,2020,14000,Philippines
Sea cucumbers, prepared or preserved,2021,363000,Philippines
Sea cucumbers, prepared or preserved,2022,599000,Philippines
Sea cucumbers, prepared or preserved,2018,2271000,Honduras
Sea cucumbers, prepared or preserved,2019,1091000,Honduras
Sea cucumbers, prepared or preserved,2020,1346000,Honduras
Sea cucumbers, prepared or preserved,2021,53000,Honduras
Sea cucumbers, prepared or preserved,2022,522000,Honduras
Sea cucumbers, prepared or preserved,2018,229000,Haiti
Sea cucumbers, prepared or preserved,2019,141000,Haiti
Sea cucumbers, prepared or preserved,2020,,Haiti
Sea cucumbers, prepared or preserved,2021,,Haiti
Sea cucumbers, prepared or preserved,2022,268000,Haiti
Sea cucumbers, prepared or preserved,2018,35000,Netherlands
Sea cucumbers, prepared or preserved,2019,42000,Netherlands
Sea cucumbers, prepared or preserved,2020,44000,Netherlands
Sea cucumbers, prepared or preserved,2021,226000,Netherlands
Sea cucumbers, prepared or preserved,2022,250000,Netherlands
Sea cucumbers, prepared or preserved,2018,59000,Greece
Sea cucumbers, prepared or preserved,2019,63000,Greece
Sea cucumbers, prepared or preserved,2020,53000,Greece
Sea cucumbers, prepared or preserved,2021,172000,Greece
Sea cucumbers, prepared or preserved,2022,246000,Greece
Sea cucumbers, prepared or preserved,2018,0,Peru
Sea cucumbers, prepared or preserved,2019,121000,Peru
Sea cucumbers, prepared or preserved,2020,477000,Peru
Sea cucumbers, prepared or preserved,2021,207000,Peru
Sea cucumbers, prepared or preserved,2022,238000,Peru
Sea cucumbers, prepared or preserved,2018,0,United Republic of Tanzania
Sea cucumbers, prepared or preserved,2019,69000,United Republic of Tanzania
Sea cucumbers, prepared or preserved,2020,59000,United Republic of Tanzania
Sea cucumbers, prepared or preserved,2021,143000,United Republic of Tanzania
Sea cucumbers, prepared or preserved,2022,231000,United Republic of Tanzania
Sea cucumbers, prepared or preserved,2018,0,Mozambique
Sea cucumbers, prepared or preserved,2019,2000,Mozambique
Sea cucumbers, prepared or preserved,2020,1000,Mozambique
Sea cucumbers, prepared or preserved,2021,42000,Mozambique
Sea cucumbers, prepared or preserved,2022,231000,Mozambique
Sea cucumbers, prepared or preserved,2018,429000,Singapore
Sea cucumbers, prepared or preserved,2019,430000,Singapore
Sea cucumbers, prepared or preserved,2020,124000,Singapore
Sea cucumbers, prepared or preserved,2021,106000,Singapore
Sea cucumbers, prepared or preserved,2022,178000,Singapore
Sea cucumbers, prepared or preserved,2018,57000,Australia
Sea cucumbers, prepared or preserved,2019,0,Australia
Sea cucumbers, prepared or preserved,2020,0,Australia
Sea cucumbers, prepared or preserved,2021,0,Australia
Sea cucumbers, prepared or preserved,2022,129000,Australia
Sea cucumbers, prepared or preserved,2018,941000,Taiwan
Sea cucumbers, prepared or preserved,2019,784000,Taiwan
Sea cucumbers, prepared or preserved,2020,16000,Taiwan
Sea cucumbers, prepared or preserved,2021,581000,Taiwan
Sea cucumbers, prepared or preserved,2022,119000,Taiwan
Sea cucumbers, prepared or preserved,2018,132000,Jamaica
Sea cucumbers, prepared or preserved,2019,53000,Jamaica
Sea cucumbers, prepared or preserved,2020,297000,Jamaica
Sea cucumbers, prepared or preserved,2021,155000,Jamaica
Sea cucumbers, prepared or preserved,2022,98000,Jamaica
Sea cucumbers, prepared or preserved,2018,0,Iceland
Sea cucumbers, prepared or preserved,2019,6000,Iceland
Sea cucumbers, prepared or preserved,2020,95000,Iceland
Sea cucumbers, prepared or preserved,2021,315000,Iceland
Sea cucumbers, prepared or preserved,2022,87000,Iceland
Sea cucumbers, prepared or preserved,2018,,Papua New Guinea
Sea cucumbers, prepared or preserved,2019,373,Papua New Guinea
Sea cucumbers, prepared or preserved,2020,0,Papua New Guinea
Sea cucumbers, prepared or preserved,2021,1035,Papua New Guinea
Sea cucumbers, prepared or preserved,2022,81,Papua New Guinea
Sea cucumbers, prepared or preserved,2018,2000,South Africa
Sea cucumbers, prepared or preserved,2019,18000,South Africa
Sea cucumbers, prepared or preserved,2020,29000,South Africa
Sea cucumbers, prepared or preserved,2021,54000,South Africa
Sea cucumbers, prepared or preserved,2022,76000,South Africa
Sea cucumbers, prepared or preserved,2018,,Sri Lanka
Sea cucumbers, prepared or preserved,2019,892000,Sri Lanka
Sea cucumbers, prepared or preserved,2020,201000,Sri Lanka
Sea cucumbers, prepared or preserved,2021,19000,Sri Lanka
Sea cucumbers, prepared or preserved,2022,64000,Sri Lanka
Sea cucumbers, prepared or preserved,2018,0,Myanmar
Sea cucumbers, prepared or preserved,2019,0,Myanmar
Sea cucumbers, prepared or preserved,2020,0,Myanmar
Sea cucumbers, prepared or preserved,2021,0,Myanmar
Sea cucumbers, prepared or preserved,2022,59000,Myanmar
Sea cucumbers, prepared or preserved,2018,17000,Somalia
Sea cucumbers, prepared or preserved,2019,,Somalia
Sea cucumbers, prepared or preserved,2020,50000,Somalia
Sea cucumbers, prepared or preserved,2021,8000,Somalia
Sea cucumbers, prepared or preserved,2022,,Somalia
Sea cucumbers, prepared or preserved,2018,0,Solomon Islands
Sea cucumbers, prepared or preserved,2019,236000,Solomon Islands
Sea cucumbers, prepared or preserved,2020,,Solomon Islands
Sea cucumbers, prepared or preserved,2021,,Solomon Islands
Sea cucumbers, prepared or preserved,2022,47000,Solomon Islands
Sea cucumbers, prepared or preserved,2018,3625000,Nicaragua
Sea cucumbers, prepared or preserved,2019,3305000,Nicaragua
Sea cucumbers, prepared or preserved,2020,100000,Nicaragua
Sea cucumbers, prepared or preserved,2021,26000,Nicaragua
Sea cucumbers, prepared or preserved,2022,32000,Nicaragua
Sea cucumbers, prepared or preserved,2018,0,Kenya
Sea cucumbers, prepared or preserved,2019,7000,Kenya
Sea cucumbers, prepared or preserved,2020,21000,Kenya
Sea cucumbers, prepared or preserved,2021,8000,Kenya
Sea cucumbers, prepared or preserved,2022,25000,Kenya
Sea cucumbers, prepared or preserved,2018,,Djibouti
Sea cucumbers, prepared or preserved,2019,,Djibouti
Sea cucumbers, prepared or preserved,2020,,Djibouti
Sea cucumbers, prepared or preserved,2021,,Djibouti
Sea cucumbers, prepared or preserved,2022,21000,Djibouti
Sea cucumbers, prepared or preserved,2018,448000,Hong Kong
Sea cucumbers, prepared or preserved,2019,89000,Hong Kong
Sea cucumbers, prepared or preserved,2020,315000,Hong Kong
Sea cucumbers, prepared or preserved,2021,0,Hong Kong
Sea cucumbers, prepared or preserved,2022,15000,Hong Kong
Sea cucumbers, prepared or preserved,2018,12000,Belgium
Sea cucumbers, prepared or preserved,2019,10000,Belgium
Sea cucumbers, prepared or preserved,2020,11000,Belgium
Sea cucumbers, prepared or preserved,2021,8000,Belgium
Sea cucumbers, prepared or preserved,2022,7000,Belgium
Sea cucumbers, prepared or preserved,2018,,Algeria
Sea cucumbers, prepared or preserved,2019,,Algeria
Sea cucumbers, prepared or preserved,2020,,Algeria
Sea cucumbers, prepared or preserved,2021,,Algeria
Sea cucumbers, prepared or preserved,2022,4000,Algeria
Sea cucumbers, prepared or preserved,2018,0,Samoa
Sea cucumbers, prepared or preserved,2019,0,Samoa
Sea cucumbers, prepared or preserved,2020,0,Samoa
Sea cucumbers, prepared or preserved,2021,0,Samoa
Sea cucumbers, prepared or preserved,2022,3000,Samoa
Sea cucumbers, prepared or preserved,2018,0,United Kingdom
Sea cucumbers, prepared or preserved,2019,0,United Kingdom
Sea cucumbers, prepared or preserved,2020,0,United Kingdom
Sea cucumbers, prepared or preserved,2021,0,United Kingdom
Sea cucumbers, prepared or preserved,2022,2000,United Kingdom
Sea cucumbers, prepared or preserved,2018,1000,France
Sea cucumbers, prepared or preserved,2019,2000,France
Sea cucumbers, prepared or preserved,2020,3000,France
Sea cucumbers, prepared or preserved,2021,5000,France
Sea cucumbers, prepared or preserved,2022,2000,France
Sea cucumbers, prepared or preserved,2018,0,Cuba
Sea cucumbers, prepared or preserved,2019,,Cuba
Sea cucumbers, prepared or preserved,2020,,Cuba
Sea cucumbers, prepared or preserved,2021,,Cuba
Sea cucumbers, prepared or preserved,2022,1000,Cuba
Sea cucumbers, prepared or preserved,2018,0,Sweden
Sea cucumbers, prepared or preserved,2019,0,Sweden
Sea cucumbers, prepared or preserved,2020,0,Sweden
Sea cucumbers, prepared or preserved,2021,0,Sweden
Sea cucumbers, prepared or preserved,2022,1000,Sweden
Sea cucumbers, prepared or preserved,2018,23000,New Zealand
Sea cucumbers, prepared or preserved,2019,6000,New Zealand
Sea cucumbers, prepared or preserved,2020,3000,New Zealand
Sea cucumbers, prepared or preserved,2021,9000,New Zealand
Sea cucumbers, prepared or preserved,2022,1000,New Zealand
Sea cucumbers, prepared or preserved,2018,1000,Aruba
Sea cucumbers, prepared or preserved,2019,0,Aruba
Sea cucumbers, prepared or preserved,2020,0,Aruba
Sea cucumbers, prepared or preserved,2021,0,Aruba
Sea cucumbers, prepared or preserved,2022,0,Aruba
Sea cucumbers, prepared or preserved,2018,0,Norway
Sea cucumbers, prepared or preserved,2019,0,Norway
Sea cucumbers, prepared or preserved,2020,0,Norway
Sea cucumbers, prepared or preserved,2021,22000,Norway
Sea cucumbers, prepared or preserved,2022,0,Norway
Sea cucumbers, prepared or preserved,2018,33000,Spain
Sea cucumbers, prepared or preserved,2019,100000,Spain
Sea cucumbers, prepared or preserved,2020,3000,Spain
Sea cucumbers, prepared or preserved,2021,76000,Spain
Sea cucumbers, prepared or preserved,2022,0,Spain
Sea cucumbers, prepared or preserved,2018,0,Portugal
Sea cucumbers, prepared or preserved,2019,0,Portugal
Sea cucumbers, prepared or preserved,2020,0,Portugal
Sea cucumbers, prepared or preserved,2021,2000,Portugal
Sea cucumbers, prepared or preserved,2022,0,Portugal
Sea cucumbers, prepared or preserved,2018,0,Timor Leste
Sea cucumbers, prepared or preserved,2019,0,Timor Leste
Sea cucumbers, prepared or preserved,2020,10000,Timor Leste
Sea cucumbers, prepared or preserved,2021,0,Timor Leste
Sea cucumbers, prepared or preserved,2022,0,Timor Leste
Sea cucumbers, prepared or preserved,2018,0,Tobago
Sea cucumbers, prepared or preserved,2019,1000,Tobago
Sea cucumbers, prepared or preserved,2020,6000,Tobago
Sea cucumbers, prepared or preserved,2021,7000,Tobago
Sea cucumbers, prepared or preserved,2022,0,Tobago
Sea cucumbers, prepared or preserved,2018,95000,United Arab Emirates
Sea cucumbers, prepared or preserved,2019,0,United Arab Emirates
Sea cucumbers, prepared or preserved,2020,0,United Arab Emirates
Sea cucumbers, prepared or preserved,2021,3000,United Arab Emirates
Sea cucumbers, prepared or preserved,2022,0,United Arab Emirates
Sea cucumbers, prepared or preserved,2018,217000,Chile
Sea cucumbers, prepared or preserved,2019,178000,Chile
Sea cucumbers, prepared or preserved,2020,83000,Chile
Sea cucumbers, prepared or preserved,2021,0,Chile
Sea cucumbers, prepared or preserved,2022,0,Chile
Sea cucumbers, prepared or preserved,2018,0,Austria
Sea cucumbers, prepared or preserved,2019,0,Austria
Sea cucumbers, prepared or preserved,2020,0,Austria
Sea cucumbers, prepared or preserved,2021,1000,Austria
Sea cucumbers, prepared or preserved,2022,0,Austria
Sea cucumbers, prepared or preserved,2018,0,Bulgaria
Sea cucumbers, prepared or preserved,2019,1000,Bulgaria
Sea cucumbers, prepared or preserved,2020,0,Bulgaria
Sea cucumbers, prepared or preserved,2021,0,Bulgaria
Sea cucumbers, prepared or preserved,2022,0,Bulgaria
Sea cucumbers, prepared or preserved,2018,1000,Ireland
Sea cucumbers, prepared or preserved,2019,0,Ireland
Sea cucumbers, prepared or preserved,2020,0,Ireland
Sea cucumbers, prepared or preserved,2021,0,Ireland
Sea cucumbers, prepared or preserved,2022,0,Ireland
Sea cucumbers, prepared or preserved,2018,0,Madagascar
Sea cucumbers, prepared or preserved,2019,0,Madagascar
Sea cucumbers, prepared or preserved,2020,160000,Madagascar
Sea cucumbers, prepared or preserved,2021,188000,Madagascar
Sea cucumbers, prepared or preserved,2022,0,Madagascar
Sea cucumbers, prepared or preserved,2018,14549000,Mexico
Sea cucumbers, prepared or preserved,2019,5665000,Mexico
Sea cucumbers, prepared or preserved,2020,873000,Mexico
Sea cucumbers, prepared or preserved,2021,0,Mexico
Sea cucumbers, prepared or preserved,2022,0,Mexico
Sea cucumbers, prepared or preserved,2018,2000,Oman
Sea cucumbers, prepared or preserved,2019,1000,Oman
Sea cucumbers, prepared or preserved,2020,2000,Oman
Sea cucumbers, prepared or preserved,2021,3000,Oman
Sea cucumbers, prepared or preserved,2022,,Oman
Sea cucumbers, prepared or preserved,2018,,Tonga
Sea cucumbers, prepared or preserved,2019,,Tonga
Sea cucumbers, prepared or preserved,2020,16000,Tonga
Sea cucumbers, prepared or preserved,2021,,Tonga
Sea cucumbers, prepared or preserved,2022,,Tonga
Sea cucumbers, prepared or preserved,2018,27000,Yemen
Sea cucumbers, prepared or preserved,2019,42000,Yemen
Sea cucumbers, prepared or preserved,2020,,Yemen
Sea cucumbers, prepared or preserved,2021,,Yemen
Sea cucumbers, prepared or preserved,2022,,Yemen
